# Abreviatura,	Significat
a/,	a l'atenció de
a/e,	adreça electrònica
A.C.,	abans de Crist
aC,	abans de Crist
DR.,	Doctor
Dr.,	Doctor
DRA.,	Doctora
Dra.,	Doctora
SR.,	Senyor
Sr.,	Senyor
SRA.,	Senyora
Sra.,	Senyora
a.C.,	abans de Crist
a.m.,	ante meridiem
abr.,	abril
adj.,	adjectiu
adm.,	administració
adm.or.,	administrador
admtiu.,	administratiu
admtiva.,	admtiva.
admva,	admtiva.
adv.,	adverbi
ag.,	agost
agr.,	agricultura
aj.,	ajuntament
al.,	alumne
alt.,	altura
amb.,	ambulatori
an.,	any
ant.,	anterior
apt.,	apartament
ap.,	apartat
apé.,	apèndix
aprox.,	aproximadament
arq.,	arquitecte
art.,	article
assoc.,	associació
at.,	atenció
att.,	atentament
atm.,	atmosfera
aug.,	agost
aut.,	autor
aux.,	auxiliar
av.,	avinguda
avda.,	avinguda
batx.,	batxillerat
bda.,	baixada
bibl.,	biblioteca
bl.,	bloc
butll.,	butlletí
c.,	carrer
c/,	carrer
c/c,	compte corrent
ca.,	circa
cap.,	capítol
carr.,	carrer
cast.,	castellà
cat.,	català
cd.,	ciutat
cf.,	confereix
cit.,	citat
cl,	centilitres
cm,	centímetres
coaut.,	coautor
col.,	columna
col·l.,	col·lecció
com.,	comarca
comp.,	compilador
conj.,	conjunció
coord.,	coordinador
corp.,	corporació
corr.,	correus
c. s.,	centre de suport
ct.,	compte corrent
cte.,	compte corrent
ctra.,	carretera
d'e.,	d'edifici
d.C.,	després de Crist
d/d,	dies data
d. d'o.,	denominació d'origen
d/fra,	dies factura
d/v,	dies vista
dat.,	data
dc.,	dimecres
del.,	delegació
dept.,	departament
des.,	desembre
dest.,	destinatari
dg.,	diumenge
dip. Leg.,	dipòsit legal
dir.,	direcció
disp.,	disposició
dist.,	districte
distr.,	districte
dj.,	dijous
dl.,	dilluns
dm.,	decímetre
doc.,	document
doca.,	doctora
dom.,	domicili
dr.,	doctor
dra.,	doctora
ds.,	dissabte
dte.,	descompte
dt.,	dimarts
dv.,	divendres
e.g.,	exempli gratia
ed.,	edició
edif.,	edifici
ent.,	entitat
es.,	espanyol
esp.,	especialment
et al.,	i altres
etc.,	etcètera
ex.,	exemple
Excm.,	Excel·lentíssim
Excma.,	Excel·lentíssima
exp.,	expedient
ext.,	exterior
f.,	femení
fac.,	facultat
fca.,	finca
febr.,	febrer
fest.,	festiu
fig.,	figura
fm,	fm
FM,	fm
fol.,	foli
fr.,	francès
fra. ,	factura
fact.,	factura
g,	gram
gen.,	gener
gov.,	govern
gral.,	general
h,	hora
ha,	hectàrea
hab.,	habitació
hm,	hectòmetres
Hz,	hertz
i.e.,	id est
Il·lm.,	Il·lustríssim
inst.,	institut
int.,	interior
kg,	quilograms
kg.,	quilograms
km,	quilòmetres
km.,	quilòmetres
km/h,	quilòmetres per hora
kW,	quilowatts
l,	litre
lat.,	latitud
long.,	longitud
m,	metre
màx.,	màxim
mín.,	mínim
mg,	miligrams
mm,	mil·límetre
mm.,	mil·límetre
n/a,	no aplicable
n/d,	no disponible
n/p,	no present
n. b.,	nota bene
núm.,	número
p.,	pàgina
p.e.,	per exemple
p.m.,	post meridiem
pàg.,	pàgina
par.,	paràgraf
p. d.,	postdata
pl.,	plaça
prof.,	professor
ref.,	referència
s,	segons
s/n,	sense número
seg.,	següent
t,	tona
tel.,	telèfon
trad.,	traducció
v,	volts
V,	volts
vol.,	volum
vs.,	versus
w,	watts
W,	watts
